2021-02-14 23:59:06,"RT @eluniversocom: Guillermo Lasso afirma que para realizar el recuento de votos, el CNE debería proclamar primero los resultados. ► https:…"
2021-02-14 23:58:36,"Que dice Arauz que mejor definan el segundo puesto haciendo lucha de almohadas, páreme la mano o zapatito cochinito… https://t.co/uNMZFuV84s"
2021-02-14 23:58:08,"RT @ecuainm_oficial: #ATENCION #URGENTE #Ecuador Les dije...el tal ""acuerdo"" es ilegal. ¡NO TIENEN NINGÚN DERECHO, NI NADIE LES AUTORIZÓ A…"
2021-02-14 23:58:06,"RT @eluniversocom: Guillermo Lasso afirma que para realizar el recuento de votos, el CNE debería proclamar primero los resultados. ► https:…"
2021-02-14 23:57:50,"Así no se puede, es una payasada. Alzar vuelo mientras se pueda no deja de ser una opción #Elecciones2021Ec"
2021-02-14 23:57:19,"RT @ecuainm_oficial: #ATENCION #URGENTE #Ecuador Les dije...el tal ""acuerdo"" es ilegal. ¡NO TIENEN NINGÚN DERECHO, NI NADIE LES AUTORIZÓ A…"
2021-02-14 23:57:13,"RT @thaliafloresf: #ATENCIÓN: El candidato presidencial #GuillermoLasso envió a la presidenta del ⁦⁦#CNE, #DianaAtamaint, y a los consejero…"
2021-02-14 23:57:05,"RT @ecuainm_oficial: #ATENCION #URGENTE #Ecuador Les dije...el tal ""acuerdo"" es ilegal. ¡NO TIENEN NINGÚN DERECHO, NI NADIE LES AUTORIZÓ A…"
2021-02-14 23:56:12,RT @CiudadanoDoe: Un independentista catalán se pasa a #Vox. #Elecciones2021Ec #EleccionesCatalanas #EleccionsCatalanes #Elecciones14F http…
2021-02-14 23:53:51,RT @CiudadanoDoe: Un independentista catalán se pasa a #Vox. #Elecciones2021Ec #EleccionesCatalanas #EleccionsCatalanes #Elecciones14F http…
